Party,Type,Counts,Prohibited act,Amount,Date
"Rexius Forest By-Products, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,10/11/2016
"Santiam Organics, LLC",Fertilizer civil penalty,6,ORS 633.366(1)(j),"$3,000",10/11/2016
Grow More Inc.,Fertilizer notice of violation,2,ORS 633.366(1)(a),,09/05/2016
"Sensational Solutions, LLC",Fertilizer notice of violation,3,ORS 633.366(1)(a),,09/05/2016
"Aquascape Designs, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/05/2016
Liquinox Company,Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/04/2016
"Mycorrhizal Applications, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/04/2016
"Seachem Laboratories, Inc.",Fertilizer notice of violation,6,ORS 633.366(1)(a),,09/04/2016
QC Corporation,Fertilizer notice of violation,1,ORS 633.366(1)(a),,07/18/2016
"Fitzmaurice Fertilizer, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,07/05/2016
"Dakine 420, LLC",Fertilizer civil penalty,2,ORS 633.366(1)(g),"$1,000",06/29/2016
Hydro-Organics Wholesale (OGM),Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,06/28/2016
"American Agritech, LLC (Botanicare)",Fertilizer civil penalty,6,ORS 633.366(1)(a),$750,06/27/2016
"ENCAP, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(e),$125,06/27/2016
Growth Products Ltd.,Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,06/27/2016
Beneficial Biologics,Fertilizer civil penalty,1,ORS 633.366(1)(e),$125,06/26/2016
"RX Green Solutions, LLC",Fertilizer civil penalty,3,ORS 633.366(1)(e),$375,06/26/2016
"Frit Industries, Inc.",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,06/26/2016
"RX Green Solutions, LLC",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,06/26/2016
"Two Rivers Terminal, LLC",Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,06/26/2016
"Two Rivers Terminal, LLC",Fertilizer civil penalty,3,ORS 633.366(1)(e),$375,06/26/2016
"KWS Distributing, LLC",Fertilizer civil penalty,6,ORS 633.366(1)(e),$750,06/24/2016
"KWS Distributing, LLC",Fertilizer civil penalty,3,ORS 633.366(1)(a),$375,06/24/2016
The Guano Company,Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/22/2016
The Guano Company,Fertilizer civil penalty,1,ORS 633.366(1)(j),$375,06/22/2016
"General Hydroponics, Inc.",Fertilizer civil penalty,9,ORS 633.366(1)(a),"$1,125",06/09/2016
"General Hydroponics, Inc.",Fertilizer civil penalty,10,ORS 633.366(1)(e),"$1,250",06/09/2016
"General Hydroponics, Inc.",Fertilizer civil penalty,5,ORS 633.366(1)(j),"$2,500",06/09/2016
